Tarih;Ay;Ana Depo;Depo;Kontak Tipi;GLN;Kontak Adı;Kontak Brick;Ürün;Kategori;Form;Satış Adet;Satış MF;Toplam Satış
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001169764;ÖZEN ECZANESİ;TOKAT MERKEZ -2;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;5;1;6
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001130566;PINAR ECZANESİ;SAMSUN ATAKUM;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001188420;SAĞLIK ECZANESİ;ORDU MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001451104;SANDIKÇI ECZANESİ;SAMSUN BAFRA;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23
25.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001233083;UĞUR ECZANESİ;ORDU MERKEZ -1;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5
25.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001374250;USTA ECZANESİ;RIZE MERKEZ;GRİPORT COLD;ASLAN;Griport Cold 20 Film Kaplı Tablet;6;1;7
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001728534;YAREN ECZANESİ;CORUM KUZEY ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001148127;YASEMİN ECZANESİ;CORUM MERKEZ -3;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001148127;YASEMİN ECZANESİ;CORUM MERKEZ -3;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 6 Çiğneme Tablet;2;0;2
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001120871;YAŞAM ECZANESİ;SINOP DOGU-BATI ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
